都府県地方番号,都府県地方名,地点区分,地点番号,地点名,地点名カナ,緯度,経度,標高,降水量,気温,風,日照,積雪,湿度,終了年月日,備考
19,釧路地方,s,47418,釧路,クシロ,42.985000,144.376667,4.5,1,1,1,1,1,1,99999999,
19,釧路地方,a,1107,二俣,フタマタ,42.971667,143.875000,45,1,0,0,0,0,0,99999999,
19,釧路地方,a,1186,鶴居,ツルイ,43.231667,144.325000,38,1,1,1,2,1,0,99999999,
19,釧路地方,a,1187,弟子屈,テシカガ,43.510000,144.466667,170,1,1,1,2,0,1,99999999,
19,釧路地方,a,1192,太田,オオタ,43.090000,144.778333,85,1,1,1,2,1,1,99999999,
19,釧路地方,a,1195,榊町,サカキマチ,43.120000,145.110000,2,1,1,1,2,0,1,99999999,
19,釧路地方,a,1283,知方学,チッポマナイ,42.938333,144.735000,149,1,1,1,2,0,1,99999999,
19,釧路地方,a,1403,塘路,トウロ,43.148333,144.496667,25,1,0,0,0,0,0,99999999,
19,釧路地方,a,1417,茶内原野,チャナイゲンヤ,43.173333,144.966667,70,1,0,0,0,0,0,99999999,
19,釧路地方,a,1461,鶴丘,ツルオカ,43.040000,144.191667,95,1,1,1,0,1,0,99999999,
20,十勝地方,a,0100,軍艦山,グンカンヤマ,43.478333,143.126667,900,1,0,0,0,0,0,19841001,
20,十勝地方,a,0101,陸別,リクベツ,43.471667,143.753333,210,1,1,1,2,1,1,99999999,
20,十勝地方,a,0102,殖産高地,ショクサンコウチ,43.435000,143.695000,419,1,0,0,0,0,0,19830729,
20,十勝地方,a,0103,ぬかびら源泉郷,ヌカビラゲンセンキョウ,43.366667,143.191667,540,1,1,1,2,1,1,99999999,2011年5月31日までの地点名「糠平」
20,十勝地方,a,0104,小坂山,コサカヤマ,43.396667,143.483333,740,1,0,0,0,0,0,19831004,
20,十勝地方,a,0105,上足寄,カミアショロ,43.356667,143.801667,384,1,0,0,0,0,0,19831004,
20,十勝地方,a,0106,西ヌプカウシ山,ニシヌプカウシヤマ,43.241667,143.070000,760,1,0,0,0,0,0,20091102,
20,十勝地方,a,0107,上士幌,カミシホロ,43.241667,143.295000,287,1,1,1,2,1,1,99999999,
20,十勝地方,a,0108,幌安山,ホロヤスヤマ,43.248333,143.445000,440,1,0,0,0,0,0,19830729,
20,十勝地方,a,0109,足寄,アショロ,43.243333,143.553333,90,1,1,1,2,0,0,99999999,
20,十勝地方,a,0110,佐幌岳,サホロダケ,43.175000,142.785000,900,1,0,0,0,0,0,20091102,
20,十勝地方,a,0111,三角山,サンカクヤマ,43.196667,142.968333,560,1,0,0,0,0,0,19841001,
20,十勝地方,a,0112,本別,ホンベツ,43.131667,143.600000,67,1,1,1,2,1,1,99999999,
20,十勝地方,a,0113,新得,シントク,43.076667,142.840000,178,1,1,1,2,1,1,99999999,
20,十勝地方,a,0114,鹿追,シカオイ,43.103333,142.995000,206,1,1,1,2,0,0,99999999,
20,十勝地方,a,0115,芽室,メムロ,42.900000,143.043333,90,1,1,1,2,1,0,99999999,
20,十勝地方,s,47417,帯広,オビヒロ,42.921667,143.211667,38.4,1,1,1,1,1,1,99999999,
20,十勝地方,a,0117,池田,イケダ,42.920000,143.458333,42,1,1,1,2,0,0,99999999,
20,十勝地方,a,0118,浦幌,ウラホロ,42.808333,143.656667,20,1,1,1,2,1,0,99999999,
20,十勝地方,a,0119,帯広岳,オビヒロダケ,42.746667,142.933333,440,1,0,0,0,0,0,19961002,
20,十勝地方,a,0120,ひょうたん沢,ヒョウタンザワ,42.596667,143.063333,380,1,0,0,0,0,0,19960925,
20,十勝地方,a,0121,大樹,タイキ,42.500000,143.273333,87,1,1,1,2,1,0,99999999,
20,十勝地方,s,47440,広尾,ヒロオ,42.293333,143.316667,32.4,1,1,1,1,1,1,99999999,
20,十勝地方,a,1099,三国山,ミクニヤマ,43.568333,143.140000,940,1,0,0,0,0,0,20051109,
20,十勝地方,a,1204,駒場,コマバ,43.050000,143.183333,112,1,1,1,2,0,0,99999999,
20,十勝地方,a,1210,上札内,カミサツナイ,42.641667,143.096667,251,1,1,1,2,1,0,99999999,
